"index","total_size","total_docs","doc_toDelete","sizesaving","sizesavingNonConvert","action_needed","action_took"
"shrink-6vtt-winlogbeat-7.13.1-2021.09.05-000285","64526464225","43641975","0","0",,,
"shrink-9oht-logstash-telecom-checkpoint-syslog-ilm-2021.08.12-000426","53068975046","40128314","0","0",,,
"logstash-telecom-else-2021.07.20","9357532","21156","0","0",,,
"logstash-telecom-else-2021.07.21","12292592","28402","0","0",,,
"shrink-logstash-telecom-checkpoint-syslog-ilm-2021.07.10-000376","53162278655","41274787","25675629","30.7992377696258","33070429740.5677","DELETE_DOCS","NOTHING"
"shrink-htqo-winlogbeat-7.13.1-2021.09.03-000279","64672350666","42774291","0","0",,,"NOTHING"
"logstash-telecom-else-2021.07.24","7991486","18857","0","0",,,"NOTHING"
"logstash-telecom-else-2021.07.25","8277280","19058","0","0",,,"NOTHING"
"logstash-telecom-else-2021.07.22","9915922","21440","0","0",,,"NOTHING"
"logstash-telecom-else-2021.07.23","10654940","26231","0","0",,,"NOTHING"
"logstash-telecom-snmptrap-cacti-ilm-2021.08.03-000036","30007751","103562","0","0",,,"NOTHING"
"logstash-telecom-else-2021.07.28","9648287","21270","0","0",,,"NOTHING"
"logstash-telecom-else-2021.07.29","9260648","20262","0","0",,,"NOTHING"
"shrink-6c81-logstash-telecom-checkpoint-syslog-ilm-2021.07.29-000406","53281429866","40153675","0","0",,,"NOTHING"
"logstash-telecom-else-2021.07.26","8609614","19741","0","0",,,"NOTHING"
"logstash-telecom-else-2021.07.27","9663822","21787","0","0",,,"NOTHING"
"shrink-arfj-webm_apigw_prd-000035","54336535507","7853064","0","0",,,"NOTHING"
".monitoring-es-7-mb-2021.09.07","15027019003","10659847","0","0",,,"NOTHING"
".monitoring-es-7-mb-2021.09.06","14881565193","10441865","0","0",,,"NOTHING"
"logstash-telecom-else-2021.07.19","9720866","21115","0","0",,,"NOTHING"
"shrink-0nas-magento-aws-access_log-prod-ilm-2021.07.21-000037","29898871712","34585707","0","0",,,"NOTHING"
".monitoring-es-7-mb-2021.09.08","12841757083","8960050","0","0",,,"NOTHING"
".monitoring-es-7-mb-2021.09.03","14960020500","10583166","0","0",,,"NOTHING"
"shrink-qigs-logstash-telecom-firepower-syslog-ilm-2021.08.31-000159","53372977755","80558405","0","0",,,"NOTHING"
".monitoring-es-7-mb-2021.09.02","14885306617","10583558","0","0",,,"NOTHING"
"shrink-xgcw-app-write-000052","9594143328","14709498","0","0",,,"NOTHING"
"shrink-56dl-app-write-000047","8918301382","13943562","0","0",,,"NOTHING"
".monitoring-es-7-mb-2021.09.05","14854983813","10381429","0","0",,,"NOTHING"
".monitoring-es-7-mb-2021.09.04","14901532499","10489292","0","0",,,"NOTHING"
"logstash-telecom-snmptrap-else-ilm-2021.07.27-000035","416","0","0","0",,,"NOTHING"
"shrink-logstash-telecom-checkpoint-syslog-ilm-2021.07.18-000388","53382852534","41337902","0","0",,,"NOTHING"
"shrink-logstash-telecom-checkpoint-syslog-ilm-2021.07.18-000389","53453976900","43750496","0","0",,,"NOTHING"
"shrink-rcvs-logstash-telecom-fwsm-syslog-ilm-2021.08.27-000039","416","0","0","0",,,"NOTHING"
".reporting-2021-02-28","118180","1","0","0",,,"NOTHING"
"shrink-gtcv-winlogbeat-7.11.1-2021.08.19-000026","15671338","9563","0","0",,,"NOTHING"
"logstash-telecom-else-2021.07.31","8296298","18810","0","0",,,"NOTHING"
"shrink-aarl-logstash-telecom-checkpoint-syslog-ilm-2021.09.05-000454","53334968741","40821471","0","0",,,"NOTHING"
"logstash-telecom-else-2021.07.30","9482780","20125","0","0",,,"NOTHING"
"shrink-g9o7-logstash-telecom-firepower-syslog-ilm-2021.08.05-000133","53096313168","82681526","0","0",,,"NOTHING"
"shrink-hrib-winlogbeat-7.13.1-2021.09.04-000281","64776059336","43591064","0","0",,,"NOTHING"
"shrink-ekoi-logstash-telecom-cisco_asr-syslog-ilm-2021.08.31-000043","44161831","108559","0","0",,,"NOTHING"
"shrink-77jz-winlogbeat-7.13.1-2021.09.07-000291","64436532917","43429003","0","0",,,"NOTHING"
"shrink-logstash-telecom-checkpoint-syslog-ilm-2021.07.21-000394","53323547404","40937437","0","0",,,"NOTHING"
"shrink-zt1c-logstash-telecom-dhcp-logs-ilm-2021.07.27-000038","402741060","932847","0","0",,,"NOTHING"
"shrink-logstash-telecom-checkpoint-syslog-ilm-2021.07.21-000393","53097158679","40417481","0","0",,,"NOTHING"
"logstash-telecom-checkpoint-syslog-ilm-2021.09.08-000458","51394887354","35909832","0","0",,,"NOTHING"
"shrink-urpb-winlogbeat-7.13.1-2021.08.09-000200","64523663498","39133487","0","0",,,"NOTHING"
"prc_audit_log_prod-ilm-2021.09.08-000044","93320584","126555","0","0",,,"NOTHING"
"shrink-logstash-telecom-firepower-syslog-ilm-2021.07.24-000120","52837103968","83207559","0","0",,,"NOTHING"
"filebeat-7.10.2-2021.08.27-000021","3397611441","6592889","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.30","344436","197","197","0",,,"NOTHING"
"logstash-telecom-firepower-mgmt-ilm-2021.07.12-000007","241244","595","0","0",,,"NOTHING"
"shrink-logstash-telecom-nontraite-ilm-2021.07.05-000006","76093608","168151","118118","0.0497811513930463","53452104.2975897","DELETE_DOCS","NOTHING"
"magento-aws-non_parse-ilm-2021.09.01-000043","416","0","0","0",,,"NOTHING"
"shrink-prc_audit_log_prod-ilm-2021.07.07-000035","1946871678","2646649","1706351","1.16898645739914","1255189650.99905","DELETE_DOCS","NOTHING"
"shrink-uuej-metricbeat-linux-2021.07.29-000050","416","0","0","0",,,"NOTHING"
"shrink-xxue-app-write-000051","9987111451","15355603","3252","0.00196980705222904","2115064.21718848","DELETE_DOCS","NOTHING"
"shrink-logstash-telecom-netscaler-syslog-ilm-2021.07.22-000106","54536275289","81230330","0","0",,,"NOTHING"
"filebeat-linux-2021.06.15-000018","416","0","0","0",,,"NOTHING"
".reporting-2021-02-07","1033416","14","0","0",,,"NOTHING"
"shrink-szup-winlogbeat-7.13.1-2021.08.19-000231","65432746718","42932788","0","0",,,"NOTHING"
"magento-aws-access_log-prod-ilm-2021.08.04-000039","28452689511","31630664","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.20","246396","360","360","0",,,"NOTHING"
".kibana-event-log-7.10.2-000008","416","0","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.21","366990","472","472","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.22","213162","306","306","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.23","264914","193","193","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.24","203980","194","194","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.25","326338","193","193","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.26","379554","195","195","0",,,"NOTHING"
"shrink-s956-audit-write-000058","54456693244","36425894","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.27","400010","175","175","0",,,"NOTHING"
"shrink-yfuo-logstash-telecom-fwsm-syslog-ilm-2021.08.20-000038","416","0","0","0",,,"NOTHING"
"heartbeat-7.10.2-2021.04.26-000001","819345300","2098344","1731536","0.629682951119466","676116920.476719","DELETE_DOCS","NOTHING"
"filebeat-7.12.0-2021.06.16","2676589732","5900542","5900542","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.28","202896","191","191","0",,,"NOTHING"
"shrink-9zt9-logstash-telecom-firepower-syslog-ilm-2021.08.25-000154","52888144564","79682041","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.29","295016","181","181","0",,,"NOTHING"
"shrink-x_6s-winlogbeat-7.13.1-2021.08.19-000232","65618361026","42869541","0","0",,,"NOTHING"
".monitoring-beats-7-mb-2021.09.04","1460800472","1226876","0","0",,,"NOTHING"
"inspire_audit_log_prod-ilm-2021.07.21-000037","940766677","1853220","0","0",,,"NOTHING"
".monitoring-beats-7-mb-2021.09.03","1455299216","1223645","0","0",,,"NOTHING"
".monitoring-beats-7-mb-2021.09.02","1454706927","1221118","0","0",,,"NOTHING"
".monitoring-beats-7-mb-2021.09.08","1275988220","1040895","0","0",,,"NOTHING"
".monitoring-beats-7-mb-2021.09.07","1464887337","1226870","0","0",,,"NOTHING"
".monitoring-beats-7-mb-2021.09.06","1462398552","1226872","0","0",,,"NOTHING"
".monitoring-beats-7-mb-2021.09.05","1454124505","1226880","0","0",,,"NOTHING"
".kibana-event-log-7.10.2-000005","1064529936","5642827","0","0",,,"NOTHING"
".kibana-event-log-7.10.2-000006","852640032","4492987","0","0",,,"NOTHING"
".kibana-event-log-7.10.2-000007","416","0","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.10","311790","232","0","0.00029037706553936","311790","DELETE_INDEX","NOTHING"
"logstash-telecom-else-2021.09.01","11859417","23743","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.11","295444","198","198","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.12","287388","202","202","0",,,"NOTHING"
"shrink-mbbe-winlogbeat-7.13.1-2021.08.23-000245","64613106316","42939205","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.13","213383","196","196","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.14","265952","196","196","0",,,"NOTHING"
"magento-aws-non_parse-ilm-2021.08.18-000041","416","0","0","0",,,"NOTHING"
"logstash-telecom-else-2021.09.05","10900705","21567","0","0",,,"NOTHING"
"shrink-d9tz-winlogbeat-7.13.1-2021.08.12-000209","65631629336","42111483","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.15","231100","235","235","0",,,"NOTHING"
"logstash-telecom-else-2021.09.04","10832391","21545","0","0",,,"NOTHING"
"logstash-telecom-else-2021.09.03","12203424","24263","0","0",,,"NOTHING"
"winlogbeat-7.13.1-2021.09.08-000293","44696150769","28251833","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.16","211634","293","293","0",,,"NOTHING"
"logstash-telecom-else-2021.09.02","11500720","22884","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.17","307658","194","194","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.18","229148","211","211","0",,,"NOTHING"
"logstash-telecom-else-2021.09.08","10555034","20612","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.19","195934","205","205","0",,,"NOTHING"
"logstash-telecom-else-2021.09.07","11857915","23511","0","0",,,"NOTHING"
"logstash-telecom-else-2021.09.06","10825082","21545","0","0",,,"NOTHING"
"shrink-2knu-winlogbeat-7.13.1-2021.08.22-000242","64420885429","43781125","0","0",,,"NOTHING"
"shrink-7ckm-winlogbeat-7.13.1-2021.09.07-000290","64887894267","41963255","0","0",,,"NOTHING"
"shrink-filebeat-cluster_elk_prod-2021.06.29-000020","416","0","0","0",,,"NOTHING"
"filebeat-7.12.1-2021.06.16-900001","103135677","227988","227988","0",,,"NOTHING"
"shrink-d4zs-winlogbeat-7.13.1-2021.08.25-000252","66271521869","42327908","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.01","292180","119","0","0.000272113829851151","292180","DELETE_INDEX","NOTHING"
"shrink-juq6-logstash-telecom-pulsesecure-syslog-ilm-2021.08.09-000046","1309884","1995","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.02","282428","158","0","0.0002630315721035","282428","DELETE_INDEX","NOTHING"
