"index","total_size","total_docs","doc_toDelete","sizesaving","sizesavingNonConvert","action_needed","action_took"
"shrink-6vtt-winlogbeat-7.13.1-2021.09.05-000285","64526464225","43641975","0","0",,,""
"shrink-9oht-logstash-telecom-checkpoint-syslog-ilm-2021.08.12-000426","53068975046","40128314","0","0",,,""
"logstash-telecom-else-2021.07.20","9357532","21156","0","0",,,""
"logstash-telecom-else-2021.07.21","12292592","28402","0","0",,,""
"shrink-htqo-winlogbeat-7.13.1-2021.09.03-000279","64672350666","42774291","0","0",,,""
"logstash-telecom-else-2021.07.24","7991486","18857","0","0",,,""
"logstash-telecom-else-2021.07.25","8277280","19058","0","0",,,""
"logstash-telecom-else-2021.07.22","9915922","21440","0","0",,,""
"logstash-telecom-else-2021.07.23","10654940","26231","0","0",,,""
"logstash-telecom-snmptrap-cacti-ilm-2021.08.03-000036","30007751","103562","0","0",,,""
"logstash-telecom-else-2021.07.28","9648287","21270","0","0",,,""
"shrink-6c81-logstash-telecom-checkpoint-syslog-ilm-2021.07.29-000406","53281429866","40153675","0","0",,,""
"logstash-telecom-else-2021.07.29","9260648","20262","0","0",,,""
"logstash-telecom-else-2021.07.26","8609614","19741","0","0",,,""
"logstash-telecom-else-2021.07.27","9663822","21787","0","0",,,""
"shrink-arfj-webm_apigw_prd-000035","54143127852","7853064","0","0",,,""
"shrink-0nas-magento-aws-access_log-prod-ilm-2021.07.21-000037","29894569576","34585707","0","0",,,""
".monitoring-es-7-mb-2021.09.09","15210137795","10703760","0","0",,,""
"logstash-telecom-else-2021.07.19","9720866","21115","0","0",,,""
".monitoring-es-7-mb-2021.09.08","15111583182","10628500","0","0",,,""
"shrink-xgcw-app-write-000052","9594143328","14709498","0","0",,,""
"shrink-qigs-logstash-telecom-firepower-syslog-ilm-2021.08.31-000159","53372977755","80558405","0","0",,,""
"shrink-56dl-app-write-000047","8918301382","13943562","0","0",,,""
"logstash-telecom-snmptrap-else-ilm-2021.07.27-000035","416","0","0","0",,,""
"shrink-logstash-telecom-checkpoint-syslog-ilm-2021.07.18-000388","53382852534","41337902","0","0",,,""
"shrink-logstash-telecom-checkpoint-syslog-ilm-2021.07.18-000389","53453976900","43750496","0","0",,,""
"shrink-rcvs-logstash-telecom-fwsm-syslog-ilm-2021.08.27-000039","416","0","0","0",,,""
".reporting-2021-02-28","118180","1","0","0",,,""
"shrink-gtcv-winlogbeat-7.11.1-2021.08.19-000026","15671338","9563","0","0",,,""
"shrink-bvvn-logstash-telecom-pulsesecure-syslog-ilm-2021.09.06-000050","1059461","1795","0","0",,,""
"logstash-telecom-else-2021.07.31","8296298","18810","0","0",,,""
"shrink-aarl-logstash-telecom-checkpoint-syslog-ilm-2021.09.05-000454","53334968741","40821471","0","0",,,""
"logstash-telecom-else-2021.07.30","9482780","20125","0","0",,,""
".monitoring-es-7-mb-2021.09.10","15269687953","10788467","0","0",,,""
"shrink-g9o7-logstash-telecom-firepower-syslog-ilm-2021.08.05-000133","53096313168","82681526","0","0",,,""
".monitoring-es-7-mb-2021.09.12","15171989289","10579563","0","0",,,""
".monitoring-es-7-mb-2021.09.11","15216986952","10662538","0","0",,,""
"shrink-hrib-winlogbeat-7.13.1-2021.09.04-000281","64776059336","43591064","0","0",,,""
"shrink-ekoi-logstash-telecom-cisco_asr-syslog-ilm-2021.08.31-000043","44161831","108559","0","0",,,""
"shrink-logstash-telecom-checkpoint-syslog-ilm-2021.07.21-000394","53323547404","40937437","0","0",,,""
"shrink-77jz-winlogbeat-7.13.1-2021.09.07-000291","64436532917","43429003","0","0",,,""
".monitoring-es-7-mb-2021.09.14","9458889399","5772235","0","0",,,""
".monitoring-es-7-mb-2021.09.13","15206054134","10708340","0","0",,,""
"shrink-zt1c-logstash-telecom-dhcp-logs-ilm-2021.07.27-000038","402741060","932847","0","0",,,""
"shrink-logstash-telecom-checkpoint-syslog-ilm-2021.07.21-000393","53097158679","40417481","0","0",,,""
"prc_audit_log_prod-ilm-2021.09.08-000044","1669294813","2381958","0","0",,,""
"shrink-logstash-telecom-firepower-syslog-ilm-2021.07.24-000120","52837103968","83207559","0","0",,,""
"filebeat-7.10.2-2021.08.27-000021","5108910226","9514843","0","0",,,""
"logstash-telecom-coreswitch-syslog-2021.06.30","344436","197","197","0",,,""
