"index","total_size","total_docs","doc_toDelete","sizesaving","sizesavingNonConvert","action_needed","action_took"
"metricbeat-7.10.2-2021.06.10-000029","53982884537","93779626","0","0",,,
"shrink-logstash-telecom-firepower-syslog-ilm-2021.05.27-000080","53630824126","97542570","0","0",,,
"shrink-winlogbeat-7.13.1-2021.06.26-000073","64589808730","45013592","0","0",,,
"shrink-winlogbeat-7.13.1-2021.06.26-000071","65365062884","43016411","0","0",,,
"inspire_log_prod-ilm-2021.06.30-000034","463073777","573112","0","0",,,
"shrink-winlogbeat-7.13.1-2021.06.26-000072","65490383475","44520470","0","0",,,
".reporting-2021-02-28","118180","1","0","0",,,
"logstash-linux-syslog-2021.06.02-000002","43959749884","55372976","28769127","21.2708165053661","22839365312.4411","DELETE_DOCS","NOTHING"
"logstash-linux-syslog-2021.06.02-000001","66972146915","82700653","56444613","42.5704177852206","45709638041.1448","DELETE_DOCS","NOTHING"
"shrink-logstash-telecom-pulsesecure-syslog-ilm-2021.05.16-000034","1284398","1501","0","0",,,"NOTHING"
"shrink-magento-aws-non_parse-ilm-2021.05.26-000029","52650826","67713","0","0",,,"NOTHING"
"prc_audit_log_prod-ilm-2021.04.28-000025","1638303113","2474932","1747884","1.07756560958726","1157027263.11789","DELETE_DOCS","NOTHING"
"logstash-telecom-elfiq-syslog-ilm-2021.06.07-000028","416","0","0","0",,,"NOTHING"
"shrink-logstash-telecom-firepower-syslog-ilm-2021.05.30-000082","53391189997","97068342","0","0",,,"NOTHING"
"logstash-telecom-cisco_acs-syslog-ilm-2021.06.08-000031","52374576","102251","0","0",,,"NOTHING"
"filebeat-7.10.2-2021.06.04-000015","17432840262","92404935","3718332","0.653312968366411","701489458.296605","DELETE_DOCS","NOTHING"
"shrink-inspire_log_prod-ilm-2021.05.19-000028","3758190853","5591481","0","0",,,"NOTHING"
"shrink-abc_audit_log_prod-ilm-2021.04.07-000022","1038481166","1301310","1301310","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.30","271738","186","0","0",,,"NOTHING"
"shrink-logstash-telecom-firepower-syslog-ilm-2021.06.10-000088","53668011776","97102967","0","0",,,"NOTHING"
"shrink-magento-aws-access_log-prod-ilm-2021.04.21-000024","26727923118","30246168","30246168","0",,,"NOTHING"
"logstash-telecom-snmptrap-else-ilm-2021.05.04-000023","416","0","0","0",,,"NOTHING"
"filebeat-linux-2021.06.15-000018","416","0","0","0",,,"NOTHING"
".reporting-2021-02-07","1033416","14","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.20","246400","360","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.21","318271","472","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.22","213164","306","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.23","264914","193","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.24","203980","194","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.25","326237","193","0","0",,,"NOTHING"
"logstash-telecom-firepower-mgmt-ilm-2021.06.21-000004","310784","814","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.26","379554","195","0","0",,,"NOTHING"
"heartbeat-7.10.2-2021.04.26-000001","602550224","1499600","118744","0.0444354543344248","47712205.787314","DELETE_DOCS","NOTHING"
"filebeat-7.12.0-2021.06.16","2678680521","5900542","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.27","400010","175","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.28","256464","191","0","0",,,"NOTHING"
"shrink-magento-aws-access_log-prod-ilm-2021.05.12-000027","22587833287","25849101","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.29","295016","181","0","0",,,"NOTHING"
"shrink-logstash-telecom-netscaler-syslog-ilm-2021.05.25-000070","54581431158","62228376","0","0",,,"NOTHING"
"abc_audit_log_prod-ilm-2021.06.30-000034","166581464","146150","0","0",,,"NOTHING"
"metricbeat-7.10.2-2021.06.29-000042","53812903756","91559094","0","0",,,"NOTHING"
"shrink-logstash-telecom-checkpoint-syslog-ilm-2021.06.16-000340","53327160093","40059257","0","0",,,"NOTHING"
"shrink-logstash-telecom-firepower-syslog-ilm-2021.06.21-000094","53325547812","95493750","0","0",,,"NOTHING"
".kibana-event-log-7.10.2-000004","871333226","4662889","0","0",,,"NOTHING"
".kibana-event-log-7.10.2-000005","1088831521","5413078","0","0",,,"NOTHING"
".kibana-event-log-7.10.2-000002","541030194","3124980","0","0",,,"NOTHING"
".kibana-event-log-7.10.2-000003","837212105","4547335","0","0",,,"NOTHING"
"winlogbeat-7.13.1-2021.06.13-000032","64586893120","44190127","0","0",,,"NOTHING"
"winlogbeat-7.13.1-2021.06.13-000031","65488164375","45545884","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.10","311790","232","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.11","285160","198","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.12","297622","202","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.13","213383","196","0","0",,,"NOTHING"
"metricbeat-7.10.2-2021.05.30-000021","53819115373","91599563","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.14","265947","196","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.15","221287","235","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.16","211634","293","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.17","307658","194","0","0",,,"NOTHING"
"shrink-inspire_log_prod-ilm-2021.06.02-000030","4034201010","6257795","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.18","229141","211","0","0",,,"NOTHING"
"shrink-logstash-telecom-fwsm-syslog-ilm-2021.05.28-000026","416","0","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.19","195725","205","0","0",,,"NOTHING"
"shrink-magento-aws-customer_log-prod-ilm-2021.05.26-000029","606840809","663531","0","0",,,"NOTHING"
"shrink-logstash-telecom-firepower-syslog-ilm-2021.06.07-000086","53413323376","96192451","0","0",,,"NOTHING"
"logstash-telecom-cisco_acs-syslog-ilm-2021.06.22-000033","32967178","69212","0","0",,,"NOTHING"
"shrink-logstash-telecom-checkpoint-syslog-ilm-2021.06.24-000352","53216103356","41783287","0","0",,,"NOTHING"
"logstash-telecom-firepower-syslog-ilm-2021.05.08-000071","54320614606","106175692","0","0",,,"NOTHING"
"shrink-logstash-telecom-checkpoint-syslog-ilm-2021.06.16-000339","53568746195","39742758","0","0",,,"NOTHING"
"winlogbeat-7.13.1-2021.06.07-000011","65479185532","42743469","0","0",,,"NOTHING"
"winlogbeat-7.13.1-2021.06.07-000013","65599148983","43811392","0","0",,,"NOTHING"
"logstash-telecom-cisco_asr-syslog-ilm-2021.05.18-000028","26467564","71019","0","0",,,"NOTHING"
"winlogbeat-7.13.1-2021.06.13-000030","65081976204","44973862","0","0",,,"NOTHING"
"filebeat-7.12.1-2021.06.16-900001","103029606","227988","0","0",,,"NOTHING"
"winlogbeat-7.13.1-2021.06.07-000012","64911588393","41710694","0","0",,,"NOTHING"
"logstash-telecom-firepower-syslog-ilm-2021.05.11-000072","54779038797","105993851","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.01","292180","119","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.02","340606","158","0","0",,,"NOTHING"
".apm-agent-configuration","566","0","0","0",,,"NOTHING"
