"index","total_size","total_docs","doc_toDelete","sizesaving","sizesavingNonConvert","action_needed","action_took"
"pulsesecure-syslog-2021.08.11","574042","396","0","0",,,""
"pulsesecure-syslog-2021.08.12","1028260","911","0","0",,,""
"pulsesecure-syslog-2021.08.10","552006","316","0","0",,,""
"pulsesecure-syslog-2021.08.19","752582","669","0","0",,,""
".monitoring-es-7-mb-2021.09.07","23392389035","18196939","0","0",,,""
".monitoring-es-7-mb-2021.09.06","23244178242","18115881","0","0",,,""
"pulsesecure-syslog-2021.08.17","733310","445","0","0",,,""
".ml-anomalies-custom-windows_anomalous_process_creation","566","0","0","0",,,""
"shrink-ndxj-filebeat-7.0.1-2021.07.28-000037","416","0","0","0",,,""
".monitoring-es-7-mb-2021.09.09","17725551482","13846426","0","0",,,""
".monitoring-es-7-mb-2021.09.08","23511339582","18222830","0","0",,,""
"pulsesecure-syslog-2021.08.18","756904","408","0","0",,,""
".monitoring-es-7-mb-2021.09.03","22854229707","17747651","0","0",,,""
"pulsesecure-syslog-2021.08.15","321714","291","0","0",,,""
"filebeat-7.7.0-2021.08.03-000028","416","0","0","0",,,""
"pulsesecure-syslog-2021.08.16","886641","516","0","0",,,""
".monitoring-es-7-mb-2021.09.05","23066319719","17783871","0","0",,,""
"pulsesecure-syslog-2021.08.13","826628","508","0","0",,,""
".monitoring-es-7-mb-2021.09.04","22962646731","17774124","0","0",,,""
"pulsesecure-syslog-2021.08.14","539398","294","0","0",,,""
".reporting-2021-02-28","3742204","5","0","0",,,""
"shrink-b69l-inspire_log_prod-2021.08.28-000043","416","0","0","0",,,""
"auditbeat-7.13.2-2021.06.29-000003","2903669568","2418839","2418839","0",,,""
"pulsesecure-syslog-2021.08.22","518860","310","0","0",,,""
"pulsesecure-syslog-2021.08.23","633868","474","0","0",,,""
"filebeat-7.11.1-2021.06.03-000020","51859329862","109570548","109570548","0",,,""
"metricbeat-7.8.0-2021.08.18-000030","416","0","0","0",,,""
"pulsesecure-syslog-2021.08.20","619875","431","0","0",,,""
"pulsesecure-syslog-2021.08.21","440287","310","0","0",,,""
"metricbeat-7.10.1-2021.06.03-000020","416","0","0","0",,,""
"pulsesecure-syslog-2021.08.28","428798","318","0","0",,,""
"pulsesecure-syslog-2021.08.29","362594","321","0","0",,,""
"filebeat-7.13.2-2021.08.20-000003","108242398361","225893289","468","0.000208852684021474","224253.861888513","DELETE_DOCS","NOTHING"
"pulsesecure-syslog-2021.08.26","851108","529","0","0",,,""
"pulsesecure-syslog-2021.08.27","500516","405","0","0",,,""
"pulsesecure-syslog-2021.08.24","772323","477","0","0",,,""
"pulsesecure-syslog-2021.08.25","777517","498","0","0",,,""
"heartbeat-7.10.0-2021.05.06-000005","416","0","0","0",,,""
"apigw_dev_policyviolationevents","197381","10","0","0",,"no_timestamp",""
"metricbeat-7.13.2-2021.06.27-000002","107547086791","155892455","155892455","0",,,""
"auditbeat-7.10.0-2021.07.22-000017","416","0","0","0",,,""
"shrink-x_id-filebeat-7.0.1-2021.07.07-000034","416","0","0","0",,,""
"metricbeat-7.10.0-2021.06.10-000022","416","0","0","0",,,""
"pulsesecure-syslog-2021.08.31","766235","476","0","0",,,""
"pulsesecure-syslog-2021.08.30","755500","474","0","0",,,""
"filebeat-7.13.1-2021.07.08-000002","7673569897","25380988","759737","0.213920466604392","229695352.002731","DELETE_DOCS","NOTHING"
"filebeat-7.3.1-2021.08.25-000041","416","0","0","0",,,""
"filebeat-7.8.0-2021.07.04-000033","416","0","0","0",,,""
".kibana-event-log-7.10.2-000008","416","0","0","0",,,""
"metricbeat-7.9.0-2021.07.22-000026","416","0","0","0",,,""
".monitoring-beats-7-mb-2021.09.04","2168212513","1748131","0","0",,,""
".monitoring-beats-7-mb-2021.09.03","2161181249","1748338","0","0",,,""
"metricbeat-7.9.0-2021.06.01-000022","416","0","0","0",,,""
".monitoring-beats-7-mb-2021.09.08","2166412219","1747408","0","0",,,""
".monitoring-beats-7-mb-2021.09.07","2164450562","1748119","0","0",,,""
".monitoring-beats-7-mb-2021.09.06","2169386061","1748130","0","0",,,""
".monitoring-beats-7-mb-2021.09.05","2166730041","1748128","0","0",,,""
".kibana-event-log-7.10.2-000005","106633166","647477","0","0",,,""
".kibana-event-log-7.10.2-000006","416","0","0","0",,,""
".monitoring-beats-7-mb-2021.09.09","1923458807","1364131","0","0",,,""
".kibana-event-log-7.10.2-000007","416","0","0","0",,,""
"auditbeat-7.12.1-2021.08.26-000015","416","0","0","0",,,""
"metricbeat-7.13.2-2021.08.04-000020","107461060473","153856823","0","0",,,""
"pulsesecure-syslog-2021.06.30","525789","334","334","0",,,""
"auditbeat-7.10.0-2021.07.08-000015","416","0","0","0",,,""
"shrink-w5pv-filebeat-7.0.1-2021.08.25-000041","416","0","0","0",,,""
".reporting-2021-04-04","359762","1","0","0",,,""
"auditbeat-7.10.0-2021.08.05-000019","416","0","0","0",,,""
"auditbeat-7.12.0-2021.08.30-000019","3342836526","2772248","0","0",,,""
"metricbeat-7.13.2-2021.08.12-000024","107316997569","154122819","0","0",,,""
"apigw_dev_transactionalevents","1027364","21","0","0",,"no_timestamp",""
".fleet-enrollment-api-keys-7","13628","2","0","0",,,""
"log_inconnu-2021.08.29","52460872353","42018440","0","0",,,""
".apm-agent-configuration","566","0","0","0",,,""
"winlogbeat-7.10.2-2021.08.12-000030","416","0","0","0",,,""
"winlogbeat-7.10.2-2021.07.15-000026","416","0","0","0",,,""
"log_inconnu-2021.08.31","51263526232","41254480","0","0",,,""
"log_inconnu-2021.08.30","52247591102","41899450","0","0",,,""
"auditbeat-7.14.0-2021.09.08-000001","421169908","262313","0","0",,,""
"filebeat-7.3.2-2021.08.18-000040","416","0","0","0",,,""
"heartbeat-7.10.0-2021.08.04-000008","416","0","0","0",,,""
"magento_integration_0553-2021.07.01","11436988","20002","20002","0",,,""
"magento_integration_0553-2021.07.02","10291963","18135","18135","0",,,""
"shrink-qio1-winlogbeat-7.10.1-2021.07.22-000028","416","0","0","0",,,""
"filebeat-pdv-2021.06.21-000003","873836714","2362650","1571752","0.541396007403989","581319536.496277","DELETE_DOCS","NOTHING"
"log_inconnu-2021.08.19","52434224113","42465888","0","0",,,""
"log_inconnu-2021.08.18","51414920738","41598052","0","0",,,""
"log_inconnu-2021.08.20","50474307064","41053218","0","0",,,""
"metricbeat-7.5.2-2021.08.20-000014","416","0","0","0",,,""
"log_inconnu-2021.08.28","52014011349","41479569","0","0",,,""
"magento_integration_0553-2021.07.09","14390240","25379","25379","0",,,""
"log_inconnu-2021.08.27","51181878570","40645315","0","0",,,""
"log_inconnu-2021.08.26","51200743550","40767885","0","0",,,""
"magento_integration_0553-2021.07.07","15943699","26677","26677","0",,,""
"log_inconnu-2021.08.25","52506114420","41804616","0","0",,,""
"magento_integration_0553-2021.07.08","11627719","19801","19801","0",,,""
"magento_integration_0553-2021.07.05","13754437","23902","23902","0",,,""
"log_inconnu-2021.08.24","50941386042","41437819","0","0",,,""
"auditbeat-7.12.0-2021.06.07-000007","10334418319","7662372","7662372","0",,,""
"log_inconnu-2021.08.23","50491866645","40855260","0","0",,,""
"magento_integration_0553-2021.07.06","15155994","25295","25295","0",,,""
"log_inconnu-2021.08.22","51278700546","41333102","0","0",,,""
"magento_integration_0553-2021.07.03","10217650","17979","17979","0",,,""
"log_inconnu-2021.08.21","50438407659","41201149","0","0",,,""
"magento_integration_0553-2021.07.04","10108775","17947","17947","0",,,""
"magento_integration_0553-2021.07.12","16108224","27259","0","0",,,""
"magento_integration_0553-2021.07.13","15743863","25595","0","0",,,""
"magento_integration_0553-2021.07.10","9521971","17314","17314","0",,,""
"shrink-xjwt-metricbeat-pdv-2021.06.21-000003","11128981423","13348369","9065255","7.03894171136364","7558006112.18928","DELETE_DOCS","NOTHING"
"shrink-ntog-auditbeat-7.13.4-2021.08.26-000006","10354772459","10462674","0","0",,,""
"magento_integration_0553-2021.07.11","9878729","17310","17310","0",,,""
"shrink-j0jq-metricbeat-pdv-2021.07.21-000004","11268284397","13744196","0","0",,,""
"log_inconnu-2021.08.09","50857388276","41176544","0","0",,,""
"log_inconnu-2021.08.08","51536001208","42231481","0","0",,,""
"log_inconnu-2021.08.07","51095317796","41118648","0","0",,,""
".kibana_6","32260632","10910","0","0",,,""
".kibana_5","11739360","4695","0","0",,,""
"pulsesecure-syslog-2021.08.01","341433","153","0","0",,,""
".kibana_2","526966","201","0","0",,,""
".kibana_1","639418","198","0","0",,,""
".kibana_4","5500722","2183","0","0",,,""
".kibana_3","4095402","1449","0","0",,,""
"pulsesecure-syslog-2021.08.08","274620","153","0","0",,,""
"pulsesecure-syslog-2021.08.09","735440","412","0","0",,,""
"pulsesecure-syslog-2021.08.06","946257","519","0","0",,,""
"filebeat-7.13.4-2021.07.26-000001","77813686585","222123015","25775846","8.40960292140725","9029742379.94755","DELETE_DOCS","NOTHING"
"pulsesecure-syslog-2021.08.07","241508","153","0","0",,,""
"pulsesecure-syslog-2021.08.04","580084","337","0","0",,,""
"pulsesecure-syslog-2021.08.05","783962","534","0","0",,,""
"pulsesecure-syslog-2021.08.02","654730","269","0","0",,,""
"pulsesecure-syslog-2021.08.03","793941","463","0","0",,,""
"log_inconnu-2021.08.17","50744440520","40991327","0","0",,,""
"log_inconnu-2021.08.16","51063476680","41537364","0","0",,,""
"log_inconnu-2021.08.15","51660710655","41419616","0","0",,,""
"magento_integration_0553-2021.07.18","10114839","17944","0","0",,,""
"log_inconnu-2021.08.14","52268585396","41988302","0","0",,,""
"magento_integration_0553-2021.07.19","12901853","21590","0","0",,,""
"magento_integration_0553-2021.07.16","12440157","21920","0","0",,,""
"log_inconnu-2021.08.13","53798532610","42818212","0","0",,,""
"log_inconnu-2021.08.12","52598518508","42106080","0","0",,,""
"magento_integration_0553-2021.07.17","10136491","18009","0","0",,,""
"magento_integration_0553-2021.07.14","16557997","26665","0","0",,,""
"log_inconnu-2021.08.11","52320343472","42085679","0","0",,,""
"log_inconnu-2021.08.10","50155036825","40684793","0","0",,,""
"magento_integration_0553-2021.07.15","14406012","24023","0","0",,,""
".triggered_watches","21315889","1154","0","0",,,""
