"index","total_size","total_docs","doc_toDelete","sizesaving","sizesavingNonConvert","action_needed","action_took"
"dhcp-logs-2021.05.30","112731803","147312","0","0.104989673011005","112731803","DELETE_INDEX","NOTHING"
"pulsesecure-syslog-2021.08.11","574042","396","0","0",,,"NOTHING"
"filebeat-7.7.0-2021.05.16","14258622","9507","0","0.0132793765515089","14258622","DELETE_INDEX","NOTHING"
"filebeat-7.7.0-2021.05.15","17227512","10115","0","0.0160443708300591","17227512","DELETE_INDEX","NOTHING"
"pulsesecure-syslog-2021.08.12","1028260","911","0","0",,,"NOTHING"
"filebeat-7.7.0-2021.05.14","24686335","10992","0","0.0229909410700202","24686335","DELETE_INDEX","NOTHING"
"pulsesecure-syslog-2021.08.10","552006","316","0","0",,,"NOTHING"
"filebeat-7.7.0-2021.05.13","28553180","11380","0","0.0265922211110592","28553180","DELETE_INDEX","NOTHING"
"filebeat-7.7.0-2021.05.17","7508180","6649","0","0.00699253752827644","7508180","DELETE_INDEX","NOTHING"
"dhcp-logs-2021.05.31","215551609","303103","0","0.200748079456389","215551609","DELETE_INDEX","NOTHING"
".monitoring-es-7-mb-2021.09.07","23392389035","18196939","0","0",,,"NOTHING"
"pulsesecure-syslog-2021.08.19","752582","669","0","0",,,"NOTHING"
".monitoring-es-7-mb-2021.09.06","23244178242","18115881","0","0",,,"NOTHING"
"pulsesecure-syslog-2021.08.17","733310","445","0","0",,,"NOTHING"
".monitoring-es-7-mb-2021.09.09","14178765952","10691005","0","0",,,"NOTHING"
".ml-anomalies-custom-windows_anomalous_process_creation","566","0","0","0",,,"NOTHING"
".monitoring-es-7-mb-2021.09.08","23511339582","18222830","0","0",,,"NOTHING"
"pulsesecure-syslog-2021.08.18","756904","408","0","0",,,"NOTHING"
".monitoring-es-7-mb-2021.09.03","22854229707","17747651","0","0",,,"NOTHING"
"pulsesecure-syslog-2021.08.15","321714","291","0","0",,,"NOTHING"
"inspire_audit_log_prod-2021.04.06","278377","8","0","0.000259258784353733","278377","DELETE_INDEX","NOTHING"
"%{[@metadata][beat]}-%{[@metadata][version]}-2021.04.22","206309858","331633","0","0.192141028121114","206309858","DELETE_INDEX","NOTHING"
"pulsesecure-syslog-2021.08.16","886641","516","0","0",,,"NOTHING"
"filebeat-7.7.0-2021.08.03-000028","416","0","0","0",,,"NOTHING"
"magento_integration_0553-2021.05.09","10791743","18398","0","0.0100505938753486","10791743","DELETE_INDEX","NOTHING"
"inspire_audit_log_prod-2021.04.05","1402993","254","0","0.00130663905292749","1402993","DELETE_INDEX","NOTHING"
"%{[@metadata][beat]}-%{[@metadata][version]}-2021.04.23","994929610","1367369","0","0.926600405946374","994929610","DELETE_INDEX","NOTHING"
"pulsesecure-syslog-2021.08.13","826628","508","0","0",,,"NOTHING"
"dhcp-logs-2021.05.29","134592764","178205","0","0.125349279493093","134592764","DELETE_INDEX","NOTHING"
"inspire_audit_log_prod-2021.04.08","888046","53","0","0.000827057287096977","888046","DELETE_INDEX","NOTHING"
".monitoring-es-7-mb-2021.09.05","23066319719","17783871","0","0",,,"NOTHING"
"pulsesecure-syslog-2021.08.14","539398","294","0","0",,,"NOTHING"
"%{[@metadata][beat]}-%{[@metadata][version]}-2021.04.24","844258722","1211204","0","0.786277206614614","844258722","DELETE_INDEX","NOTHING"
"inspire_audit_log_prod-2021.04.07","519705","69","0","0.000484012998640537","519705","DELETE_INDEX","NOTHING"
"dhcp-logs-2021.05.28","182344512","255811","0","0.169821560382843","182344512","DELETE_INDEX","NOTHING"
".monitoring-es-7-mb-2021.09.04","22962646731","17774124","0","0",,,"NOTHING"
"magento_integration_0553-2021.05.06","17235849","27357","0","0.0160521352663636","17235849","DELETE_INDEX","NOTHING"
"%{[@metadata][beat]}-%{[@metadata][version]}-2021.04.25","960747738","1674221","0","0.894766056910157","960747738","DELETE_INDEX","NOTHING"
"magento_integration_0553-2021.05.05","17495824","28106","0","0.0162942558526993","17495824","DELETE_INDEX","NOTHING"
"%{[@metadata][beat]}-%{[@metadata][version]}-2021.04.26","818828910","1174703","0","0.762593848630786","818828910","DELETE_INDEX","NOTHING"
"magento_integration_0553-2021.05.08","10887886","18439","0","0.0101401340216398","10887886","DELETE_INDEX","NOTHING"
"%{[@metadata][beat]}-%{[@metadata][version]}-2021.04.27","779356844","1109319","0","0.725832622498274","779356844","DELETE_INDEX","NOTHING"
"%{[@metadata][beat]}-%{[@metadata][version]}-2021.04.28","722494824","1016167","0","0.672875739634037","722494824","DELETE_INDEX","NOTHING"
"magento_integration_0553-2021.05.07","18219444","30095","0","0.0169681794941425","18219444","DELETE_INDEX","NOTHING"
"magento_integration_0553-2021.05.02","12112425","20921","0","0.0112805748358369","12112425","DELETE_INDEX","NOTHING"
"%{[@metadata][beat]}-%{[@metadata][version]}-2021.04.29","648125332","949421","0","0.603613752871752","648125332","DELETE_INDEX","NOTHING"
"magento_integration_0553-2021.05.01","10314864","17922","0","0.00960646569728851","10314864","DELETE_INDEX","NOTHING"
"magento_integration_0553-2021.05.04","17020855","27482","0","0.0158519065007567","17020855","DELETE_INDEX","NOTHING"
".reporting-2021-02-28","3742204","5","0","0",,,"NOTHING"
"magento_integration_0553-2021.05.03","18708722","29759","0","0.0174238551408052","18708722","DELETE_INDEX","NOTHING"
"magento_integration_0553-2021.05.11","17566268","28320","0","0.0163598619401455","17566268","DELETE_INDEX","NOTHING"
"auditbeat-7.13.2-2021.06.29-000003","2903669568","2418839","2418839","0",,,"NOTHING"
"magento_integration_0553-2021.05.10","23570234","39883","0","0.0219514910131693","23570234","DELETE_INDEX","NOTHING"
"filebeat-7.7.0-2021.05.05","22813923","10599","0","0.0212471215054393","22813923","DELETE_INDEX","NOTHING"
"dhcp-logs-2021.05.27","243868834","348651","0","0.227120550349355","243868834","DELETE_INDEX","NOTHING"
"pulsesecure-syslog-2021.08.22","518860","310","0","0",,,"NOTHING"
"dhcp-logs-2021.05.26","260528922","367722","0","0.242636466398835","260528922","DELETE_INDEX","NOTHING"
"filebeat-7.7.0-2021.05.04","21542820","10297","0","0.0200633145868778","21542820","DELETE_INDEX","NOTHING"
"pulsesecure-syslog-2021.08.23","633868","474","0","0",,,"NOTHING"
"metricbeat-7.8.0-2021.08.18-000030","416","0","0","0",,,"NOTHING"
"filebeat-7.7.0-2021.05.03","19922638","11378","0","0.0185544025152922","19922638","DELETE_INDEX","NOTHING"
"dhcp-logs-2021.05.25","252740516","356020","0","0.235382948070765","252740516","DELETE_INDEX","NOTHING"
"pulsesecure-syslog-2021.08.20","619875","431","0","0",,,"NOTHING"
"dhcp-logs-2021.05.24","111982827","147239","0","0.10429213475436","111982827","DELETE_INDEX","NOTHING"
"filebeat-7.7.0-2021.05.02","16639735","9483","0","0.0154969608411193","16639735","DELETE_INDEX","NOTHING"
"pulsesecure-syslog-2021.08.21","440287","310","0","0",,,"NOTHING"
"filebeat-7.7.0-2021.05.09","15160913","9563","0","0.0141197005286813","15160913","DELETE_INDEX","NOTHING"
"dhcp-logs-2021.05.23","113130772","149412","0","0.105361241847277","113130772","DELETE_INDEX","NOTHING"
"filebeat-7.7.0-2021.05.08","18714914","10088","0","0.0174296218901873","18714914","DELETE_INDEX","NOTHING"
"dhcp-logs-2021.05.22","107424701","139206","0","0.100047049112618","107424701","DELETE_INDEX","NOTHING"
"filebeat-7.7.0-2021.05.07","25637273","11033","0","0.0238765710964799","25637273","DELETE_INDEX","NOTHING"
