"index","total_size","total_docs","doc_toDelete","sizesaving","sizesavingNonConvert","action_needed","action_took"
"dhcp-logs-2021.05.30","112731803","147312","0","0",,,
"filebeat-7.7.0-2021.05.16","14258622","9507","0","0",,,
"filebeat-7.7.0-2021.05.15","17227512","10115","0","0",,,
"filebeat-7.7.0-2021.05.14","24686335","10992","0","0",,,
"filebeat-7.7.0-2021.05.13","28553180","11380","0","0",,,
"filebeat-7.7.0-2021.05.17","7508180","6649","0","0",,,
"dhcp-logs-2021.05.31","215551609","303103","0","0",,,
".ml-anomalies-custom-windows_anomalous_process_creation","566","0","0","0",,,
"inspire_audit_log_prod-2021.04.06","278377","8","0","0",,,
"magento_integration_0553-2021.05.09","10791743","18398","0","0",,,
"inspire_audit_log_prod-2021.04.05","1266979","254","0","0",,,
"%{[@metadata][beat]}-%{[@metadata][version]}-2021.04.22","206309858","331633","0","0",,,
"%{[@metadata][beat]}-%{[@metadata][version]}-2021.04.23","994929610","1367369","0","0",,,
"inspire_audit_log_prod-2021.04.08","888046","53","0","0",,,
"dhcp-logs-2021.05.29","134592764","178205","0","0",,,
"dhcp-logs-2021.05.28","182344512","255811","0","0",,,
"%{[@metadata][beat]}-%{[@metadata][version]}-2021.04.24","844258722","1211204","0","0",,,
"inspire_audit_log_prod-2021.04.07","519705","69","0","0",,,
"magento_integration_0553-2021.05.06","17235849","27357","0","0",,,
"%{[@metadata][beat]}-%{[@metadata][version]}-2021.04.25","960747738","1674221","0","0",,,
"magento_integration_0553-2021.05.05","17495824","28106","0","0",,,
"%{[@metadata][beat]}-%{[@metadata][version]}-2021.04.26","818828910","1174703","0","0",,,
"magento_integration_0553-2021.05.08","10887886","18439","0","0",,,
"%{[@metadata][beat]}-%{[@metadata][version]}-2021.04.27","779356844","1109319","0","0",,,
"%{[@metadata][beat]}-%{[@metadata][version]}-2021.04.28","722494824","1016167","0","0",,,
"magento_integration_0553-2021.05.07","18219444","30095","0","0",,,
"magento_integration_0553-2021.05.02","12112425","20921","0","0",,,
"%{[@metadata][beat]}-%{[@metadata][version]}-2021.04.29","652242450","949421","0","0",,,
"magento_integration_0553-2021.05.01","10314864","17922","0","0",,,
"magento_integration_0553-2021.05.04","17020855","27482","0","0",,,
".reporting-2021-02-28","3742204","5","0","0",,,
"magento_integration_0553-2021.05.03","18708722","29759","0","0",,,
"auditbeat-7.13.2-2021.06.29-000003","565537862","393706","0","0",,,
"magento_integration_0553-2021.05.11","17566268","28320","0","0",,,
"magento_integration_0553-2021.05.10","23570234","39883","0","0",,,
"dhcp-logs-2021.05.27","243492235","348651","0","0",,,
"filebeat-7.7.0-2021.05.05","22813923","10599","0","0",,,
"dhcp-logs-2021.05.26","260687112","367722","0","0",,,
"filebeat-7.7.0-2021.05.04","21542820","10297","0","0",,,
"dhcp-logs-2021.05.25","252778048","356020","0","0",,,
"filebeat-7.7.0-2021.05.03","19960981","11378","0","0",,,
"filebeat-7.7.0-2021.05.02","16639735","9483","0","0",,,
"dhcp-logs-2021.05.24","111982827","147239","0","0",,,
"filebeat-7.7.0-2021.05.09","15160913","9563","0","0",,,
"dhcp-logs-2021.05.23","113211212","149412","0","0",,,
"filebeat-7.7.0-2021.05.08","18623773","10088","0","0",,,
"dhcp-logs-2021.05.22","107424701","139206","0","0",,,
"filebeat-7.7.0-2021.05.07","25637273","11033","0","0",,,
"dhcp-logs-2021.05.21","170145983","231613","0","0",,,
"filebeat-7.7.0-2021.05.06","35225338","11461","0","0",,,
"dhcp-logs-2021.05.20","248540086","348648","0","0",,,
"%{[@metadata][beat]}-%{[@metadata][version]}-2021.04.30","718816598","1061014","0","0",,,
"filebeat-7.7.0-2021.05.12","30318348","10699","0","0",,,
"filebeat-7.7.0-2021.05.11","26335322","10818","0","0",,,
"dhcp-logs-2021.05.19","240920298","336133","0","0",,,
"filebeat-7.7.0-2021.05.10","20798827","11866","0","0",,,
"dhcp-logs-2021.05.18","243907336","350283","0","0",,,
"dhcp-logs-2021.05.17","215033922","311700","0","0",,,
"magento_integration_0553-2021.05.17","20245567","36530","0","0",,,
"magento_integration_0553-2021.05.16","10405601","17885","0","0",,,
"magento_integration_0553-2021.05.19","22590206","41209","0","0",,,
"magento_integration_0553-2021.05.18","18777225","34503","0","0",,,
"heartbeat-7.10.0-2021.05.06-000005","416","0","0","0",,,
"magento_integration_0553-2021.05.13","18681228","30025","0","0",,,
"metricbeat-7.13.2-2021.06.27-000002","107547086791","155892455","0","0",,,
"magento_integration_0553-2021.05.12","16230387","25411","0","0",,,
"apigw_dev_policyviolationevents","197381","10","0","0",,"no_timestamp",
"magento_integration_0553-2021.05.15","10504663","17916","0","0",,,
"magento_integration_0553-2021.05.14","17884380","29973","0","0",,,
"magento_integration_0553-2021.05.20","14751749","24411","0","0",,,
"magento_integration_0553-2021.05.22","10751695","19253","0","0",,,
"magento_integration_0553-2021.05.21","17740581","32342","0","0",,,
"metricbeat-7.10.0-2021.06.10-000022","416","0","0","0",,,
"inspire_audit_log_prod-2021.04.26","486878","13","0","0",,,
"inspire_audit_log_prod-2021.04.20","734835","19","0","0",,,
"inspire_audit_log_prod-2021.04.21","698353","19","0","0",,,
"filebeat-7.7.0-2021.05.01","19631148","10196","0","0",,,
"inspire_audit_log_prod-2021.04.28","1435976","575","0","0",,,
"inspire_audit_log_prod-2021.04.27","1194300","288","0","0",,,
"inspire_audit_log_prod-2021.04.29","1014217","243","0","0",,,
"magento_integration_0553-2021.05.28","14942041","24399","0","0",,,
"magento_integration_0553-2021.05.27","11992609","19863","0","0",,,
"magento_integration_0553-2021.05.29","9511726","17285","0","0",,,
"magento_integration_0553-2021.05.24","9760742","17481","0","0",,,
"magento_integration_0553-2021.05.23","10108953","17804","0","0",,,
"magento_integration_0553-2021.05.26","17119117","29321","0","0",,,
"magento_integration_0553-2021.05.25","17388077","28557","0","0",,,
"magento_integration_0553-2021.05.31","13209714","21637","0","0",,,
"magento_integration_0553-2021.05.30","9564150","17280","0","0",,,
"inspire_audit_log_prod-2021.04.13","994454","33","0","0",,,
"inspire_audit_log_prod-2021.04.12","719491","53","0","0",,,
"inspire_audit_log_prod-2021.04.15","384657","10","0","0",,,
"inspire_audit_log_prod-2021.04.14","83585","3","0","0",,,
"metricbeat-7.9.0-2021.06.01-000022","416","0","0","0",,,
"inspire_audit_log_prod-2021.04.16","74189","2","0","0",,,
"inspire_audit_log_prod-2021.04.19","828484","31","0","0",,,
".kibana-event-log-7.10.2-000004","32212567","206353","0","0",,,
".kibana-event-log-7.10.2-000005","106337635","647477","0","0",,,
".kibana-event-log-7.10.2-000006","416","0","0","0",,,
".kibana-event-log-7.10.2-000003","115332","17","0","0",,,
"filebeat-7.3.2-2021.05.26-000028","416","0","0","0",,,
"filebeat-7.12.0-2021.04.14-000002","3110781322","6921167","0","0",,,
