"index","total_size","total_docs","doc_toDelete","sizesaving","sizesavingNonConvert","action_needed","action_took"
"dhcp-logs-2021.05.30","112731803","147312","0","0",,,
"nontraite-syslog-2021.03.14","939803","1317","0","0.000875259749591351","939803","DELETE_INDEX","DELETED_INDEX"
"nontraite-syslog-2021.03.15","932208","1363","0","0.000868186354637146","932208","DELETE_INDEX","DELETED_INDEX"
"nontraite-syslog-2021.03.12","1673006","2396","0","0.00155810825526714","1673006","DELETE_INDEX","DELETED_INDEX"
"nontraite-syslog-2021.03.13","1164786","1961","0","0.00108479149639606","1164786","DELETE_INDEX","DELETED_INDEX"
"nontraite-syslog-2021.03.18","1222046","1792","0","0.00113811902701855","1222046","DELETE_INDEX","DELETED_INDEX"
"nontraite-syslog-2021.03.19","1445280","1966","0","0.00134602189064026","1445280","DELETE_INDEX","DELETED_INDEX"
"nontraite-syslog-2021.03.16","1270418","1488","0","0.00118316896259785","1270418","DELETE_INDEX","DELETED_INDEX"
"nontraite-syslog-2021.03.17","1368230","1755","0","0.00127426348626614","1368230","DELETE_INDEX","DELETED_INDEX"
"filebeat-7.7.0-2021.05.16","14258622","9507","0","0",,,"DELETED_INDEX"
"inspire_audit_log_prod-2021.04.01","734770","51","0","0.000684307888150215","734770","DELETE_INDEX","DELETED_INDEX"
"filebeat-7.7.0-2021.05.15","17227512","10115","0","0",,,"DELETED_INDEX"
"filebeat-7.7.0-2021.05.14","24686335","10992","0","0",,,"DELETED_INDEX"
"filebeat-7.7.0-2021.05.13","28553180","11380","0","0",,,"DELETED_INDEX"
"nontraite-syslog-2021.03.10","1366061","2043","0","0.0012722434476018","1366061","DELETE_INDEX","DELETED_INDEX"
"nontraite-syslog-2021.03.11","2260715","2956","0","0.00210545491427183","2260715","DELETE_INDEX","DELETED_INDEX"
"filebeat-7.7.0-2021.05.17","7508180","6649","0","0",,,"DELETED_INDEX"
"dhcp-logs-2021.05.31","215551609","303103","0","0",,,"DELETED_INDEX"
"winlogbeat-6.6.1-2021.03.22","1594003193","1627007","0","1.48453115765005","1594003193","DELETE_INDEX","DELETED_INDEX"
"winlogbeat-6.6.1-2021.03.21","1849231454","2001231","0","1.7222309987992","1849231454","DELETE_INDEX","DELETED_INDEX"
".ml-anomalies-custom-windows_anomalous_process_creation","566","0","0","0",,,"DELETED_INDEX"
"winlogbeat-6.6.1-2021.03.24","2017389389","2293702","0","1.87884027976543","2017389389","DELETE_INDEX","DELETED_INDEX"
"winlogbeat-6.6.1-2021.03.23","2004294474","2242191","0","1.86664468981326","2004294474","DELETE_INDEX","DELETED_INDEX"
"inspire_audit_log_prod-2021.04.06","278377","8","0","0",,,"DELETED_INDEX"
"%{[@metadata][beat]}-%{[@metadata][version]}-2021.04.22","206309858","331633","0","0",,,"DELETED_INDEX"
"magento_integration_0553-2021.05.09","10791743","18398","0","0",,,"DELETED_INDEX"
"inspire_audit_log_prod-2021.04.05","1266979","254","0","0",,,"DELETED_INDEX"
"winlogbeat-6.6.1-2021.03.20","1941183054","2356490","0","1.80786759965122","1941183054","DELETE_INDEX","DELETED_INDEX"
"dhcp-logs-2021.05.29","134592764","178205","0","0",,,"DELETED_INDEX"
"%{[@metadata][beat]}-%{[@metadata][version]}-2021.04.23","994929610","1367369","0","0",,,"DELETED_INDEX"
"inspire_audit_log_prod-2021.04.08","888046","53","0","0",,,"DELETED_INDEX"
"%{[@metadata][beat]}-%{[@metadata][version]}-2021.04.24","849719018","1211204","0","0",,,"DELETED_INDEX"
"dhcp-logs-2021.05.28","182344512","255811","0","0",,,"DELETED_INDEX"
"inspire_audit_log_prod-2021.04.07","519705","69","0","0",,,"DELETED_INDEX"
"%{[@metadata][beat]}-%{[@metadata][version]}-2021.04.25","960747738","1674221","0","0",,,"DELETED_INDEX"
"magento_integration_0553-2021.05.06","17235849","27357","0","0",,,"DELETED_INDEX"
"%{[@metadata][beat]}-%{[@metadata][version]}-2021.04.26","818828910","1174703","0","0",,,"DELETED_INDEX"
"winlogbeat-6.6.1-2021.03.29","1612840024","1639836","0","1.50207432359457","1612840024","DELETE_INDEX","DELETED_INDEX"
"magento_integration_0553-2021.05.05","17495824","28106","0","0",,,"DELETED_INDEX"
"%{[@metadata][beat]}-%{[@metadata][version]}-2021.04.27","779356844","1109319","0","0",,,"DELETED_INDEX"
"magento_integration_0553-2021.05.08","10887886","18439","0","0",,,"DELETED_INDEX"
